meshtastic_variant,mcu,radio,tier,tier_label,category,blocker,mcu_supported_by_meshcore,radio_supported_by_meshcore,notes
hackerboxes_esp32_io,esp32,sx1276,1,Tier 1 - variant-only port,diy,none,True,True,DIY; pin-map port.
heltec_v1,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Reference Tier-1 ESP32 port (worked example in examples/).
heltec_wireless_bridge,esp32,sx1276,1,Tier 1 - variant-only port,gateway,none,True,True,Headless bridge; pin-map port.
heltec_wsl_v2.1,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Wireless Stick Lite; sub-variant of heltec_v2.
nano-g1,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
nano-g1-explorer,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
rak11200,esp32,sx1262,1,Tier 1 - variant-only port,node,none,True,True,ESP32 WisBlock core; pin-map port.
station-g1,esp32,sx1276,1,Tier 1 - variant-only port,gateway,none,True,True,Pin-map port.
tlora_v1,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Early T-LoRa; pin-map port.
tlora_v1_3,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
tlora_v2,esp32,sx1276,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
tlora_v3_3_0_tcxo,esp32,sx1262,1,Tier 1 - variant-only port,node,none,True,True,T-LoRa V3 (SX1262 + TCXO); pin-map port.
ai-c3,esp32-c3,sx1276,1,Tier 1 - variant-only port,node,none,True,True,C3 has BLE; pin-map port.
hackerboxes_esp32c3_oled,esp32-c3,sx1276,1,Tier 1 - variant-only port,diy,none,True,True,Pin-map port.
heltec_esp32c3,esp32-c3,sx1262,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
m5stack-stamp-c3,esp32-c3,sx1276,1,Tier 1 - variant-only port,module,none,True,True,Pin-map port.
bpi_picow_esp32_s3,esp32-s3,sx1262,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
EBYTE_ESP32-S3,esp32-s3,sx1262,1,Tier 1 - variant-only port,module,none,True,True,Pin-map port.
esp32-s3-pico,esp32-s3,sx1262,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
link32_s3_v1,esp32-s3,sx1262,1,Tier 1 - variant-only port,node,none,True,True,Pin-map port.
nugget_s3_lora,esp32-s3,sx1276,1,Tier 1 - variant-only port,diy,none,True,True,Pin-map port.
rak3312,esp32-s3,sx1262,1,Tier 1 - variant-only port,node,none,True,True,ESP32-S3 WisBlock; pin-map port.
canaryone,nrf52840,sx1262,1,Tier 1 - variant-only port,node,none,True,True,OLED + SX1262; reference Tier-1 nRF52 port.
dls_Minimesh_Lite,nrf52840,sx1262,1,Tier 1 - variant-only port,diy,none,True,True,DIY board; pin-map port.
ELECROW-ThinkNode-M4,nrf52840,sx1262,1,Tier 1 - variant-only port,node,none,True,True,ThinkNode family partly ported (m1/2/3/5/6); add M4.
